Concentration (µM),Repl1,Repl2,Repl3,Repl4,Repl5,Repl6
0,87.433,67.956,181.107,106.19,99.81,101.741
0.3,148.8,107.009,185.423,,,
0.4,131.043,165.533,94.019,,,
0.6,192.514,71.496,152.054,,,
0.9,185.259,191.462,73.12,,,
1.2,146.031,94.225,133.854,,,
1.7,118.972,115.208,87.038,,,
2.4,105.983,111.819,103.731,,,
3.4,177.659,101.612,98.999,,,
4.9,82.041,140.577,146.666,,,
6.9,143.665,102.537,118.296,,,
9.7,54.762,100.592,154.341,,,
13.8,176.625,133.164,125.874,,,
19.4,111.374,184.954,164.856,,,
27.5,148.414,170.075,138.159,,,
35,202.147,210.608,190.101,,,
38.9,187.836,241.234,192.458,,,
45,200.721,168.264,168.228,,,
55,178.466,194.132,182.564,,,
