dose,rgr
0,1.688328136
0,1.691424121
0,1.43678232
0,1.458885366
0,1.576368011
5937.5,1.769820466
5937.5,1.557766737
11875,1.703619848
11875,1.511319863
23750,1.609437912
23750,1.589026915
47500,1.383445351
47500,1.329175266
95000,1.170902903
95000,0.943534825
190000,0.467154619
190000,0.484700279
380000,0.39422868
380000,0.293893332
760000,0.091160778
760000,0.168236118
5937.5,1.595238175
5937.5,1.554530479
11875,1.748253781
11875,1.497866137
23750,1.755772719
47500,1.550046144
47500,1.326620982
95000,1.319528665
95000,1.125645899
190000,0.564232626
190000,0.592811833
380000,0.549306144
380000,0.265314126
760000,0.04765509
760000,0.04765509
5937.5,1.746736329
5937.5,1.565568455
11875,1.543769911
11875,1.366684005
23750,1.43678232
23750,1.40770436
47500,1.350680606
47500,1.16119386
95000,1.058127757
95000,0.895879735
190000,0.980829253
190000,0.745827438
380000,0.446908938
380000,0.490414627
760000,0.1627112
760000,0.1627112
5937.5,1.764648692
5937.5,1.586939229
11875,1.620427366
11875,1.386294361
23750,1.357347372
23750,1.363926414
47500,1.365014554
47500,1.47221949
95000,0.987040513
95000,0.895879735
190000,0.632833187
190000,0.60651132
380000,0.42364893
380000,0.510825624
760000,0.083527042
760000,0.155077464
5937.5,1.727632301
5937.5,1.51694202
11875,1.697254197
11875,1.51506685
23750,1.260637147
23750,1.432685228
47500,1.386294361
47500,1.301344843
95000,1.0551066
95000,0.916290732
190000,0.549306144
190000,0.490414627
380000,0.34657359
380000,0.293893332
760000,0.100335348
760000,0.18386239
5937.5,1.491576746
5937.5,1.624217314
11875,1.692195132
11875,1.345621541
23750,1.119023286
23750,1.412916618
47500,1.397877891
47500,1.354025101
95000,1.151292546
95000,1.086111638
190000,0.679061742
190000,0.679061742
380000,0.505800456
380000,0.505800456
760000,0.31430433
760000,0.279807894
11875,1.151292546
23750,1.116796111
23750,1.193871451
47500,1.374436098
47500,1.08452685
95000,1.070033082
95000,0.895879735
190000,0.640466923
190000,0.565701056
380000,0.594792033
380000,0.572566152
760000,0.273271853
760000,0.246238243
