dose,rgr
0,0.293726713
0,0.290214555
0,0.408123234
0,0.274742662
0,0.26766742
0,0.288626845
0,0.275329308
0,0.303009934
0,0.29956711
0,0.275279886
0,0.267620355
0,0.276377454
1024,0.281886101
1024,0.285999153
1024,0.280001664
2560,0.255480114
2560,0.235606553
2560,0.250240023
6400,0.215583987
6400,0.191535962
6400,0.204105682
16000,0.162190894
16000,0.14319896
16000,0.173528609
40000,0.012026506
40000,0.011789853
40000,-0.005967201
100000,-0.002178111
100000,-0.003074334
100000,-0.010631828
1024,0.303592586
1024,0.317949341
1024,0.299087133
2560,0.288929512
2560,0.308488577
2560,0.309697206
6400,0.271305033
6400,0.26117919
6400,0.275695036
16000,0.164165935
16000,0.181943837
16000,0.16935227
40000,0.108353974
40000,0.118120303
40000,0.113293626
100000,0.0190647
100000,0.011733692
100000,0.052485174
1024,0.2937648
1024,0.313745132
1024,0.320127094
2560,0.285723619
2560,0.301751401
2560,0.309118149
6400,0.259603096
6400,0.249605976
6400,0.286085368
16000,0.161284481
16000,0.17869189
16000,0.16391615
40000,0.113088103
40000,0.104354377
40000,0.091819366
100000,0.094392522
100000,0.006761336
100000,-0.003144108
1024,0.244500506
1024,0.256438076
1024,0.265605304
2560,0.221768193
2560,0.226489353
2560,0.240990769
6400,0.208155109
6400,0.210848444
6400,0.258197193
16000,0.121002597
16000,0.14325961
16000,0.196410423
40000,0.069673546
40000,0.108514343
40000,0.067263749
100000,-0.000477791
100000,-0.012296428
100000,-0.004769964
1024,0.31223592
1024,0.309772862
1024,0.308196513
2560,0.25250223
2560,0.28236495
2560,0.268927576
6400,0.235784375
6400,0.225837736
6400,0.234110866
16000,0.126068691
16000,0.121992329
16000,0.148191912
40000,0.075904577
40000,0.058909219
40000,0.067530086
100000,0.030367365
100000,0.024563507
100000,0.020057414
