ID of track	time index	cell row	cell col	velocity (pixels moved between timepoints) (µm)	Angle of movement	Delta of Angle of movement	angle of movement relative to "center"	length of track (total number of timepoints track was found)	Consistency of motion	Cumulated distance travelled (µm)	Distance between start and endpoint (µm)
1	0	276.600000	279.800000	0.734551	-171.495416		36.824939	18	1.000000	8.058347	2.647644
1	1	275.473684	279.631579	0.435927	-69.145540	102.349876	-65.425303	18	0.657698	8.058347	2.647644
1	2	275.714286	279.000000	0.350870	113.198587	-177.655873	112.140790	18	0.483396	8.058347	2.647644
1	3	275.500000	279.500000	0.456084	134.999996	21.801409	90.412943	18	0.525951	8.058347	2.647644
1	4	275.000000	280.000000	0.562373	145.007976	10.007980	80.508192	18	0.614025	8.058347	2.647644
1	5	274.285714	280.500000	0.371440	-119.744878	95.247146	-14.613362	18	0.577744	8.058347	2.647644
1	6	274.000000	280.000000	0.463124	111.801406	-128.453716	113.819105	18	0.572449	8.058347	2.647644
1	7	273.733333	280.666667	0.202831	-32.005382	-143.806789	-102.278110	18	0.485496	8.058347	2.647644
1	8	274.000000	280.500000	0.792643	-125.537674	-93.532292	-8.790716	18	0.491197	8.058347	2.647644
1	9	273.285714	279.500000	0.659642	77.905241	-156.557085	147.738841	18	0.407565	8.058347	2.647644
1	10	273.500000	280.500000	0.469838	-101.309930	-179.215170	-32.966151	18	0.380349	8.058347	2.647644
1	11	273.357143	279.785714	0.574913	107.378922	-151.311148	118.286938	18	0.383054	8.058347	2.647644
1	12	273.090909	280.636364	0.807836	-112.132380	140.488698	-22.086915	18	0.374334	8.058347	2.647644
1	13	272.619048	279.476190	0.171698	116.565048	-131.302572	109.146545	18	0.374988	8.058347	2.647644
1	14	272.500000	279.714286	0.359829	-50.194428	-166.759475	-84.057083	18	0.328697	8.058347	2.647644
1	15	272.857143	279.285714	0.355295	83.796550	133.990977	141.870516	18	0.305815	8.058347	2.647644
1	16	272.916667	279.833333	0.289453	158.198586	74.402036	67.518333	18	0.328559	8.058347	2.647644
1	17	272.500000	280.000000					18		8.058347	2.647644
2	0	377.142857	676.714286	1.212253	164.320471		76.547963	48	1.000000	23.769530	3.520774
2	1	375.333333	677.222222	0.813434	-64.563782	131.115747	-54.432521	48	0.450926	23.769530	3.520774
