ID of track	time index	cell row	cell col	velocity (pixels moved between timepoints) (µm)	Angle of movement	Delta of Angle of movement	angle of movement relative to "center"	length of track (total number of timepoints track was found)	Consistency of motion	Cumulated distance travelled (µm)	Distance between start and endpoint (µm)
1	0	28.360000	149.240000	0.292218	168.111337	-77.097617		11	1.000000	20.476996	12.530728
1	1	27.916667	149.333333	0.137036	-101.309930	90.578733	-167.712477	11	0.748970	20.476996	12.530728
1	2	27.875000	149.125000	0.215693	170.217588	-88.472482	-79.243693	11	0.816688	20.476996	12.530728
1	3	27.545455	149.181818	1.208820	75.963754	-94.253834	14.983271	11	0.625054	20.476996	12.530728
1	4	28.000000	151.000000	0.789750	-141.632511	142.403735	-127.380732	11	0.404057	20.476996	12.530728
1	5	27.040000	150.240000	2.325509	115.285702	-103.081787	-24.378642	11	0.666025	20.476996	12.530728
1	6	25.500000	153.500000	0.967500	-89.999997	154.714300	-179.215421	11	0.431835	20.476996	12.530728
1	7	25.500000	152.000000	1.131405	105.255116	-164.744887	-14.472221	11	0.506915	20.476996	12.530728
1	8	25.038462	153.692308	4.633272	52.614710	-52.640405	38.132097	11	0.562971	20.476996	12.530728
1	9	29.400000	159.400000	8.775793	155.695446	103.080736	-64.580507	11	0.611942	20.476996	12.530728
1	10	17.000000	165.000000					11			12.530728
2	0	38.290909	6.000000	1.612878	82.444128	9.071677		10	1.000000	17.667107	14.029011
2	1	38.619718	8.478873	2.445331	120.556584	38.112455	-29.013932	10	0.947568	17.667107	14.029011
2	2	36.692308	11.743590	1.896271	29.111580	-91.445003	62.305367	10	0.784162	17.667107	14.029011
2	3	39.260870	13.173913	3.067300	86.393601	57.282021	5.201590	10	0.857021	17.667107	14.029011
2	4	39.560000	17.920000	0.658096	81.302629	-5.090972	10.322252	10	0.866676	17.667107	14.029011
2	5	39.714286	18.928571	1.280918	127.694237	46.391608	-36.056752	10	0.853357	17.667107	14.029011
2	6	38.500000	20.500000	2.298367	149.036239	21.342002	-57.479499	10	0.806520	17.667107	14.029011
2	7	35.444444	22.333333	2.499443	60.494847	-88.541392	30.853858	10	0.807475	17.667107	14.029011
2	8	37.352941	25.705882	1.908502	142.674476	82.179629	-51.187615	10	0.794075	17.667107	14.029011
2	9	35.000000	27.500000					10		17.667107	14.029011
3	0	205.066667	157.600000	2.444579	39.289406	65.993979		29	1.000000	85.604468	40.549752
3	1	208.000000	160.000000	0.574522	169.215697	129.926292	-63.655203	29	0.702888	85.604468	40.549752
3	2	207.125000	160.166667	2.466797	60.642245	-108.573453	44.854327	29	0.833709	85.604468	40.549752
3	3	209.000000	163.500000	3.448742	79.656814	19.014569	26.056595	29	0.879694	85.604468	40.549752
3	4	209.960000	168.760000	1.789012	141.146622	61.489808	-35.243132	29	0.793128	85.604468	40.549752
3	5	207.800000	170.500000	2.863700	69.796383	-71.350239	35.977158	29	0.835099	85.604468	40.549752
3	6	209.333333	174.666667	1.791124	42.380450	-27.415933	63.605939	29	0.837346	85.604468	40.549752
3	7	211.384615	176.538462	1.926234	97.399592	55.019142	8.790144	29	0.845709	85.604468	40.549752
3	8	211.000000	179.500000	2.271502	-145.694604	116.905804	-108.078195	29	0.663690	85.604468	40.549752
3	9	208.090909	177.515152	4.252675	100.406123	-113.899274	5.546670	29	0.716316	85.604468	40.549752
3	10	206.900000	184.000000	1.917482	149.697315	49.291192	-43.691792	29	0.699194	85.604468	40.549752
3	11	204.333333	185.500000	4.198009	92.935671	-56.761644	12.899407	29	0.741330	85.604468	40.549752
3	12	204.000000	192.000000	3.366999	73.300754	-19.634917	32.656038	29	0.762939	85.604468	40.549752
3	13	205.500000	197.000000	4.452661	47.935672	-25.365082	58.258601	29	0.765367	85.604468	40.549752
3	14	210.125000	202.125000	3.769596	48.468228	0.532556	58.223661	29	0.771965	85.604468	40.549752
3	15	214.000000	206.500000	2.920362	6.340192	-42.128036	100.774730	29	0.742792	85.604468	40.549752
3	16	218.500000	207.000000	4.035210	-51.298123	-57.638315	158.791278	29	0.635531	85.604468	40.549752
3	17	222.411765	202.117647	3.709293	11.476863	62.774986	96.207098	29	0.631659	85.604468	40.549752
3	18	228.047619	203.261905	3.178304	-13.022913	-24.499776	121.188410	29	0.611539	85.604468	40.549752
3	19	232.848485	202.151515	3.251955	-17.128047	-4.105134	125.647261	29	0.594230	85.604468	40.549752
3	20	237.666667	200.666667	5.026128	-41.531770	-24.403723	150.393289	29	0.546938	85.604468	40.549752
3	21	243.500000	195.500000	2.541862	5.748663	47.280433	103.431353	29	0.556362	85.604468	40.549752
3	22	247.421053	195.894737	5.487747	-59.024085	-64.772748	168.520790	29	0.504598	85.604468	40.549752
3	23	251.800000	188.600000	1.846999	-65.224858	-6.200773	174.859794	29	0.488718	85.604468	40.549752
3	24	253.000000	186.000000	0.946706	-60.524109	4.700748	170.179905	29	0.482414	85.604468	40.549752
3	25	253.722222	184.722222	3.277232	-26.985305	33.538804	136.661414	29	0.486835	85.604468	40.549752
3	26	258.250000	182.416667	4.079480	-72.042503	-45.057198	-177.999917	29	0.459114	85.604468	40.549752
3	27	260.200000	176.400000	3.769558	-20.709037	51.333466	130.648957	29	0.473687	85.604468	40.549752
3	28	265.666667	174.333333					29		85.604468	40.549752
