Time (step)	Area (µm²)	Centroid X (pixels)	Centroid Y (pixels)	Eccentricity	Majoraxislength (µm)	Minoraxislength (µm)
0	177871.0727	1081.111954	410.274301	0.82475	914.098929	516.921046
1	180123.4321	1078.878128	408.239958	0.824448	914.474339	517.535221
2	187712.5601	1059.478982	397.031757	0.826178	943.914747	531.810846
3	192601.2699	1046.518596	390.346335	0.82854	968.254442	542.153915
4	194571.1483	1043.345895	388.421062	0.830209	971.229378	541.414276
5	195426.0797	1040.581608	387.260085	0.83098	976.884467	543.443443
6	196780.241	1038.401915	385.081378	0.832113	980.619672	543.857867
7	197935.1264	1035.800419	383.999918	0.83298	986.195945	545.665906
8	199916.6535	1031.375582	381.99213	0.83207	995.493882	552.171611
9	201010.7993	1030.171621	381.466625	0.832375	994.393319	551.105377
10	202908.2893	1030.68929	380.778761	0.831451	990.635438	550.395027
11	204885.2401	1026.600372	379.597781	0.833033	995.920706	550.966409
12	205821.7124	1024.813777	378.847686	0.833694	999.305696	551.843875
13	206516.8901	1023.757228	378.256776	0.834265	999.456632	551.063608
14	207471.2515	1023.180409	378.113485	0.834392	998.366699	550.271215
15	208824.9968	1019.909499	377.79222	0.835143	1004.641276	552.585405
16	210190.3909	1018.08158	377.163981	0.836342	1005.669166	551.315679
17	211629.4214	1015.299433	375.726034	0.837384	1007.48937	550.709535
18	212571.302	1014.15687	375.755632	0.837812	1008.86527	550.798231
19	213661.2875	1012.960557	375.043612	0.838162	1010.003941	550.877162
20	219254.7436	999.815843	368.741116	0.844063	1037.175904	556.178926
21	219444.867	999.761568	368.981533	0.843987	1037.282512	556.361001
22	219983.6194	999.768758	369.520594	0.843772	1036.671447	556.384228
23	220851.8636	999.110816	369.1541	0.843774	1036.16447	556.107827
24	222880.4015	1001.446912	368.944282	0.841208	1033.343225	558.740817
25	224922.2522	997.683057	367.132299	0.843439	1036.900882	557.048557
26	226419.5261	995.950923	367.09969	0.844287	1039.416319	557.013638
27	228222.1625	995.192848	368.86599	0.843673	1038.982093	557.784615
28	228827.0628	995.005609	369.662111	0.843189	1038.732502	558.44115
29	229354.5825	994.632558	369.602483	0.843159	1038.732424	558.489493
30	231635.2316	992.445988	369.867772	0.843198	1039.171373	558.662199
31	232121.5648	991.903413	369.192065	0.843502	1039.246881	558.206676
32	233712.0284	989.990548	368.450907	0.844116	1039.65221	557.42074
